"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belarus","BLR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99830","96217.8","87990.4","76424.4","64809.8","57640.6","58651.5","59174.6","57256.5","54954.4","52941.9","51883.8","51843.3","52703.9","56039.4","56779.6","59121.1","57648.9","60531.7","57402.3","61674.7","58550.8","59938.3","59990.2","59496.8","54820.3","55142.4","56005","58947.6","57672.2","","","",
"Belize","BLZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331.9","431.3","502.9","465.4","450","463.6","361","461","452.4","408.8","447.3","525.4","522.2","506.5","440.8","469.7","508.4","534.3","495.3","1464.3","557","669","667.4","457.9","484.3","676","652.4","644.4","631.6","639.8","","","",
"Bermuda","BMU","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10412.6","10874.6","11154.2","10201.5","9518.7","8579.5","8285","9122.2","8665.2","8223.6","8210","8047.5","8301.4","9084.6","9487.5","10052.9","11234.5","12084.4","13107.4","14004.5","15170.9","16614.8","17421.8","18742.2","20409.9","20757.5","22010.2","22745.7","23225.6","22340.7","","","",
"Brazil","BRA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197897.4","205475.3","207865.4","215259.5","222497.5","241283.8","262414","281334.9","290587.1","300958.7","313670.7","319375.6","317756.4","310808","328517.3","331689","335624.5","352555.8","373633","350000.8","397931","418305.3","454232.8","486844.6","511617.9","485344","447077.2","456494.7","433988.8","434297.9","","","",
"Barbados","BRB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","982.92","979.83","1178.65","995.94","1029.98","1071.9","1062.77","1164.02","1266.2","1304.1","1241","1313.8","1372","1383.6","1363.9","1416.1","1466.6","1481.2","1780.4","4617.7","1552.9","1763.65","2121.42","1441.17","1270.47","1267.07","1288.57","1176.67","1235.77","1249.97","","","",
"Brunei Darussalam","BRN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3260.3","3384.5","3585.4","3928.1","4265.1","4600.7","4827.2","5225.2","4517.9","4433","4717.9","4708.8","4620.1","5515.5","5103","4991.3","7520.7","7143.2","7912.4","7874.3","7170.8","7332.7","7299.4","7208.8","7080.3","6397.7","6968.5","7290.1","7540","6986.2","","","",
"Bhutan","BTN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","128.61","121.46","128.36","136.58","162.53","196.56","193.29","196.28","203.31","213.94","231.1","241.12","260.44","289.73","321.23","323.68","321.98","297.65","322.4","397.74","591","642.7","666.9","704.1","767.8","930.7","968.6","1051.7","1053.8","","","",
"Botswana","BWA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2807.4","2734.7","3298.3","3249.7","3080.1","3189.8","2915.9","3066","3682.2","3858.5","4033.8","3865.6","4026.7","3915","3970.3","4278.6","4086.9","4319.8","4392.7","4186.58","3371.7","3883.337","3414.335","5421.539","6988.912","6952.812","6629.312","7334.412","7314.7","7252.5","","","",
"Central African Republic","CAF","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147.6","141.6","151.1","157.1","160.3","163.4","166.7","166.6","227.1","236.5","242.5","252.5","249.3","230.4","225.7","223.9","234.2","237.6","171.3","168","174.6","194.3","198.4","121.6","131.5","185.7","207.6","223.7","230.3","242.6","","","",
"Canada","CAN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419492.4","413298.8","426367.5","422048","436764.7","448046.1","461700.8","476816","484792","494278.6","514215.2","506616","524353.5","544541.9","536417.4","549032.8","540525.7","571632.2","550469.8","521316","537008.2","549286.5","546208.1","555658.9","561677","558700.8","556827.6","568082.4","580088","580212.8","","","",
"Central Europe and the Baltics","CEB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","989036.4","913109.2","848797.4","826255.91","804162.8","809668.72","833186.6","807308.4","759219","717325.2","709032.47","721099.8","706185.1","735881.3","735036.4","733631.8","751337.6","758258.7","740862.4","683712.3","707017.3","707138.7","680985.7","654549.7","633334.3","643894.8","655574.4","679383.4","673569.3","641565.4","","","",
"Switzerland","CHE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43326.5","45666.8","45702.6","43452","42593","43439.4","44006","42748.3","44247.3","44528.1","43708.8","45154.7","43573.3","44839.5","45283.9","45850.7","45479.3","43541.2","44962.5","43668.6","45207.8","41192.3","42516.6","43531.2","39793.3","39090.8","39666.5","38699","37481.3","37376.3","","","",
"Channel Islands","CHI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30516.8","29301.5","30324.6","32320.2","35643.1","38972","44896.3","51285.2","52013.7","54430.3","50424.5","48425.1","49121.4","50200.6","54972.1","55968.9","57148.1","64574","67991.6","65450.6","69750.1","76470.5","78412.6","82998.5","76560.3","82225.4","86492","87072.2","86606.1","91369.4","","","",
"China","CHN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173364","2302185","2418175","2645412","2767667","3088620","3070505","3134113","3236279","3153661","3346526","3529081","3810057","4415913","5124817","5824625","6437470","6993183","7199605","7719071","8474923","9282554","9541867","9984572","10006670","9861100","9874656","10096010","10502930","10707220","","","",
"Cote d'Ivoire","CIV","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2705.4","2791.5","2772.1","2957.3","3093.6","3365.1","4053.6","4972.6","4989.7","6831.4","6489.4","6494.3","6838.9","5307.5","5466.1","5876.5","5698.7","5657.8","6474.7","6031.2","6350.6","6118.3","8037.7","8692.4","9196.9","9805.7","9593.5","10563.8","10194.8","10833.4","","","",
"Cameroon","CMR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","6966","6846.6","5766.8","4619.2","4679.4","4755.4","4862.3","5040.5","4788.3","5209.1","5156.7","5133.2","5206","5122.6","5016.3","5091.6","6131.5","6393.5","7032.3","7014.3","6811.1","6876.3","7545.9","8248.2","8461.4","9078.1","9172.5","9587.5","9429.1","","","",
"Congo, Dem. Rep.","COD","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3179","1737.9","1482.42","1896.19","2208.23","2110.94","2271.34","2269.97","2275.74","2094.98","1634.93","1565.44","1650.1","1998.6","1939.7","2208.7","2282.7","2472.8","2553.3","2502.7","2653.9","3016.9","2827.3","3959.5","5136.1","3231.4","2421.14","2845","3121.9","3209.8","","","",
"Congo, Rep.","COG","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3201.95","3194.22","3128.97","2691.09","2055.2","2635.41","3168.94","3267.123","3876.8","3962.9","4348.186","4244.6","2755.9","3225.6","3515.3","4314.23","4779.06","4151.62","4361.49","4839.56","5424.45","5384.97","5261.65","5330.11","5194.7","5655.7","5498.3","5407.4","6486.7","7256.9","","","",
